Year,County,Age,Total Population
2024,Carson,79 Years,24
2024,Carson,80 Years,63
2024,Carson,81 Years,36
2024,Carson,82 Years,34
2024,Carson,83 Years,13
2024,Carson,84 Years,23
2024,Carson,85 Years,25
2024,Carson,86 Years,45
2024,Carson,87 Years,12
2024,Carson,88 Years,9
2024,Carson,89 Years,12
2024,Carson,90 Years,11
2024,Carson,91 Years,19
2024,Carson,92 Years,3
2024,Carson,93 Years,12
2024,Carson,94 Years,4
2024,Carson,95+ Years,7
2024,Cochran,< 01 Year,48
2024,Cochran,01 Years,45
2024,Cochran,02 Years,50
2024,Cochran,03 Years,43
2024,Cochran,04 Years,33
2024,Cochran,05 Years,40
2024,Cochran,06 Years,24
2024,Cochran,07 Years,41
2024,Cochran,08 Years,37
2024,Cochran,09 Years,41
2024,Cochran,10 Years,48
2024,Cochran,11 Years,21
2024,Cochran,12 Years,28
2024,Cochran,13 Years,29
2024,Cochran,14 Years,58
2024,Cochran,15 Years,35
2024,Cochran,16 Years,40
2024,Cochran,17 Years,45
2024,Cochran,18 Years,45
2024,Cochran,19 Years,46
2024,Cochran,20 Years,46
2024,Cochran,21 Years,49
2024,Cochran,22 Years,27
2024,Cochran,23 Years,39
2024,Cochran,24 Years,21
2024,Cochran,25 Years,45
2024,Cochran,26 Years,9
2024,Cochran,27 Years,10
2024,Cochran,28 Years,47
2024,Cochran,29 Years,17
2024,Cochran,30 Years,39
2024,Cochran,31 Years,23
2024,Cochran,32 Years,14
2024,Cochran,33 Years,29
2024,Cochran,34 Years,40
2024,Cochran,35 Years,41
2024,Cochran,36 Years,24
2024,Cochran,37 Years,15
2024,Cochran,38 Years,20
2024,Cochran,39 Years,53
2024,Cochran,40 Years,39
2024,Cochran,41 Years,25
2024,Cochran,42 Years,35
2024,Cochran,43 Years,22
2024,Cochran,44 Years,22
2024,Cochran,45 Years,17
2024,Cochran,46 Years,44
2024,Cochran,47 Years,14
2024,Cochran,48 Years,16
2024,Cochran,49 Years,20
2024,Cochran,50 Years,18
2024,Cochran,51 Years,23
2024,Cochran,52 Years,21
2024,Cochran,53 Years,39
2024,Cochran,54 Years,25
2024,Cochran,55 Years,22
2024,Cochran,56 Years,41
2024,Cochran,57 Years,17
2024,Cochran,58 Years,22
2024,Cochran,59 Years,43
2024,Cochran,60 Years,28
2024,Cochran,61 Years,23
2024,Cochran,62 Years,52
2024,Cochran,63 Years,21
2024,Cochran,64 Years,29
2024,Cochran,65 Years,19
2024,Cochran,66 Years,35
2024,Cochran,67 Years,23
2024,Cochran,68 Years,31
2024,Cochran,69 Years,17
2024,Cochran,70 Years,54
2024,Cochran,71 Years,29
2024,Cochran,72 Years,25
2024,Cochran,73 Years,20
2024,Cochran,74 Years,36
2024,Cochran,75 Years,10
2024,Cochran,76 Years,23
2024,Cochran,77 Years,12
2024,Cochran,78 Years,19
2024,Cochran,79 Years,12
2024,Cochran,80 Years,8
2024,Cochran,81 Years,18
2024,Cochran,82 Years,10
2024,Cochran,83 Years,13
2024,Cochran,84 Years,13
2024,Cochran,85 Years,9
2024,Cochran,86 Years,5
2024,Cochran,87 Years,4
2024,Cochran,88 Years,12
2024,Cochran,89 Years,9
2024,Cochran,90 Years,10
2024,Cochran,91 Years,3
2024,Cochran,92 Years,6
2024,Cochran,93 Years,1
2024,Cochran,94 Years,3
2024,Cochran,95+ Years,7
2024,Collin,< 01 Year,13949
2024,Collin,01 Years,14258
2024,Collin,02 Years,14076
2024,Collin,03 Years,13675
2024,Collin,04 Years,13183
2024,Collin,05 Years,13646
2024,Collin,06 Years,14619
2024,Collin,07 Years,15488
2024,Collin,08 Years,16423
2024,Collin,09 Years,16821
2024,Collin,10 Years,17261
2024,Collin,11 Years,17860
2024,Collin,12 Years,18069
2024,Collin,13 Years,18296
2024,Collin,14 Years,18842
2024,Collin,15 Years,19901
2024,Collin,16 Years,20865
2024,Collin,17 Years,20459
2024,Collin,18 Years,20496
2024,Collin,19 Years,20297
2024,Collin,20 Years,19615
2024,Collin,21 Years,18996
2024,Collin,22 Years,18611
2024,Collin,23 Years,17316
2024,Collin,24 Years,16722
2024,Collin,25 Years,15947
2024,Collin,26 Years,15621
2024,Collin,27 Years,15402
2024,Collin,28 Years,15500
2024,Collin,29 Years,16260
2024,Collin,30 Years,14928
2024,Collin,31 Years,15610
2024,Collin,32 Years,15923
2024,Collin,33 Years,16076
2024,Collin,34 Years,17536
2024,Collin,35 Years,15850
2024,Collin,36 Years,16646
2024,Collin,37 Years,16271
2024,Collin,38 Years,17082
2024,Collin,39 Years,18395
2024,Collin,40 Years,17578
2024,Collin,41 Years,17919
2024,Collin,42 Years,18206
2024,Collin,43 Years,18075
2024,Collin,44 Years,19613
2024,Collin,45 Years,17807
2024,Collin,46 Years,18185
2024,Collin,47 Years,17758
2024,Collin,48 Years,17866
2024,Collin,49 Years,18949
2024,Collin,50 Years,17554
2024,Collin,51 Years,17681
2024,Collin,52 Years,18336
2024,Collin,53 Years,18664
2024,Collin,54 Years,18510
2024,Collin,55 Years,16631
2024,Collin,56 Years,15356
2024,Collin,57 Years,14607
2024,Collin,58 Years,14452
2024,Collin,59 Years,15492
2024,Collin,60 Years,15129
2024,Collin,61 Years,14535
2024,Collin,62 Years,13820
2024,Collin,63 Years,13279
2024,Collin,64 Years,13102
2024,Collin,65 Years,11842
2024,Collin,66 Years,11032
2024,Collin,67 Years,10464
2024,Collin,68 Years,9733
